global_rank,gene_name,drug_name,tade_score,global_percentile_top,within_drug_rank,within_drug_total,within_drug_percentile_top,within_gene_rank,within_gene_total,within_gene_percentile_top,rapid_evidence_grade,evidence_role,disease_gene_or_drug_context,direct_pair_evidence_status,pdb_structural_support,docking_structural_support,safe_interpretation,curation_status
11,IGF2BP2,Metformin glycinate,0.972468078136444,0.10912698412698413,11,280,3.9285714285714284,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
12,GLP1R,Metformin glycinate,0.9721863269805908,0.11904761904761905,12,280,4.285714285714286,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
13,INS,Metformin glycinate,0.9711238741874696,0.12896825396825395,13,280,4.642857142857143,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
14,ABCC9,Metformin glycinate,0.9698652625083924,0.1388888888888889,14,280,5.0,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
15,DPP4,Metformin glycinate,0.9697031378746032,0.1488095238095238,15,280,5.357142857142857,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
16,PCSK1N,Metformin glycinate,0.9686295390129088,0.15873015873015872,16,280,5.714285714285714,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
17,LIPE,Metformin glycinate,0.9671635627746582,0.16865079365079366,17,280,6.071428571428571,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
18,MC4R,Metformin glycinate,0.9665566682815552,0.17857142857142858,18,280,6.428571428571428,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
19,H6PD,Metformin glycinate,0.965791404247284,0.1884920634920635,19,280,6.785714285714286,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
20,KIAA0125,Metformin glycinate,0.9644522666931152,0.1984126984126984,20,280,7.142857142857142,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
21,TPI1,Metformin glycinate,0.9641752243041992,0.20833333333333334,21,280,7.5,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
22,GK,Metformin glycinate,0.9640262126922609,0.21825396825396826,22,280,7.857142857142857,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
23,IRS1,Metformin glycinate,0.9635159969329834,0.2281746031746032,23,280,8.214285714285714,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
24,AMY1B,Metformin glycinate,0.9627389311790466,0.2380952380952381,24,280,8.571428571428571,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
25,GLIS3,Metformin glycinate,0.9626792669296264,0.248015873015873,25,280,8.928571428571429,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
26,MLPH,Metformin glycinate,0.9623953104019164,0.2579365079365079,26,280,9.285714285714286,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
27,KLF11,Metformin glycinate,0.9622104167938232,0.26785714285714285,27,280,9.642857142857144,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
28,PPARG,Rosiglitazone,0.96214097738266,0.2777777777777778,1,280,0.35714285714285715,2,36,5.555555555555555,A,known_direct_target_control_without_current_PDB_row,strong disease-gene/drug class support,known direct antidiabetic drug-target pharmacology based on curated domain knowledge; not newly manually rechecked here,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,"Known antidiabetic drug-target relationship; include as calibration, not novel validation.",rapid_triage_not_full_manual_literature_review
29,OR4D6,Metformin glycinate,0.9620714783668518,0.28769841269841273,28,280,10.0,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
30,KCNJ11,Rosiglitazone,0.961766481399536,0.2976190476190476,2,280,0.7142857142857143,2,36,5.555555555555555,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
